Encoded,Category
0,accessories
1,appliances
2,bags & luggage
3,beauty & health
4,car & motorbike
5,home & kitchen
6,kids' fashion
7,men's clothing
8,men's shoes
9,other
10,sports & fitness
11,stores
12,toys & baby products
13,"tv, audio & cameras"
14,women's clothing
